Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
WP_000800512.1,4.1.2.14,Escherichia coli,R10,2-dehydro-3-deoxy-phosphogluconate aldolase,R05605,MRL,1 C04442,1 C00022; 1 C00118,Km_C00022: 10.0; Km_C00118: 0.739241421; Km_C04442: 415.05,Kcat_F: 83.0; Kcat_R: 1.5123339535000002,C00048;C00022;C00345;C05946;C00118;C00661;C04442,C00048_KI: 0.872616529;C05946_KI: 0.528768599;C04442_KI: 0.180845678;C00118_KI: 0.739241421;C00022_KI: 1.110617399;C00345_KI: 0.15314056;C00661_KI: 0.739241421,Keq: 0.0014095449663227091
WP_000800512.1,4.1.2.14,Escherichia coli,R11,2-dehydro-3-deoxy-phosphogluconate aldolase,R00471,MRL,1 C05946,1 C00022; 1 C00048,Km_C00022: 10.0; Km_C00048: 0.872616529; Km_C05946: 0.528768599,Kcat_F: 1.249629426; Kcat_R: 0.630864713,C00048;C00022;C00345;C05946;C00118;C00661;C04442,C00048_KI: 0.872616529;C05946_KI: 0.528768599;C04442_KI: 0.180845678;C00118_KI: 0.739241421;C00022_KI: 1.110617399;C00345_KI: 0.15314056;C00661_KI: 0.739241421,Keq: 0.001083095101461444
WP_001303675.1,1.1.1.60,Escherichia coli,R12,2-hydroxy-3-oxopropionate reductase,R01745,MRL,1 C00003; 1 C00258,1 C00004; 1 C00080; 1 C01146,Km_C00004: 0.082195692; Km_C00080: 4.276399612; Km_C01146: 0.368014574; Km_C00003: 0.095414706; Km_C00258: 4.2,Kcat_F: 23.6986144485; Kcat_R: 28.641540485,C00006;C00003;C01146;C00004;C00005;C00258;C00080,C00004_KI: 0.082195692;C01146_KI: 0.368014574;C00003_KI: 0.095414706;C00258_KI: 1.624541521;C00080_KI: 4.276399612;C00006_KI: 0.066738613;C00005_KI: 0.087535039,Keq: 6.079466016486677e-06
WP_001303675.1,1.1.1.60,Escherichia coli,R13,2-hydroxy-3-oxopropionate reductase,R01747,MRL,1 C00006; 1 C00258,1 C00005; 1 C00080; 1 C01146,Km_C00005: 0.087535039; Km_C00080: 4.276399612; Km_C01146: 0.368014574; Km_C00006: 0.066738613; Km_C00258: 4.2,Kcat_F: 24.0215035445; Kcat_R: 28.61671638,C00006;C00003;C01146;C00004;C00005;C00258;C00080,C00004_KI: 0.082195692;C01146_KI: 0.368014574;C00003_KI: 0.095414706;C00258_KI: 1.624541521;C00080_KI: 4.276399612;C00006_KI: 0.066738613;C00005_KI: 0.087535039,Keq: 6.074207227829519e-06
WP_001109196.1,2.5.1.54,Escherichia coli,R16,3-deoxy-7-phosphoheptulonate synthase,R01826,MRL,1 C00001; 1 C00074; 1 C00279,1 C00009; 1 C04691,Km_C00009: 2.103025675; Km_C04691: 0.248493344; Km_C00001: 7.373492241; Km_C00074: 0.65; Km_C00279: 0.25,Kcat_F: 16.350614169999997; Kcat_R: 17.252663589999997,C00001;C00279;C04691;C00009;C00074,C00074_KI: 0.256724924;C00009_KI: 2.103025675;C00001_KI: 7.373492241;C00279_KI: 0.384478152;C04691_KI: 0.248493344,Keq: 1000000000000.0
WP_000636571.1,1.1.1.298,Escherichia coli,R21,3-hydroxypropionate dehydrogenase (nadp+),R09289,MRL,1 C00006; 1 C01013,1 C00005; 1 C00080; 1 C00222,Km_C00005: 0.018878033; Km_C00080: 2.220971107; Km_C00222: 0.134558901; Km_C00006: 0.035369549; Km_C01013: 0.661590278,Kcat_F: 4.0888064795; Kcat_R: 11.664353298,C00006;C00222;C00005;C00080;C01013,C00006_KI: 0.035369549;C00080_KI: 2.220971107;C01013_KI: 0.661590278;C00222_KI: 0.134558901;C00005_KI: 0.018878033,Keq: 0.00026439429974536757
WP_000805449.1,2.1.2.11,Escherichia coli,R22,3-methyl-2-oxobutanoate hydroxymethyltransferase,R01226,MRL,1 C00001; 1 C00141; 1 C00143,1 C00101; 1 C00966,Km_C00101: 0.11870598; Km_C00966: 0.17; Km_C00001: 7.029721737; Km_C00141: 0.1; Km_C00143: 0.129827544,Kcat_F: 1.3476876563333333; Kcat_R: 0.9193097765,C00966;C00101;C00001;C00067;C00143;C00141,C00067_KI: 5.183048725;C00001_KI: 7.029721737;C00143_KI: 0.129827544;C00101_KI: 0.11870598;C00966_KI: 0.45431608;C00141_KI: 0.560629904,Keq: 0.07869929219481436
WP_000445249.1,2.5.1.19,Escherichia coli,R32,3-phosphoshikimate 1-carboxyvinyltransferase,R03460,MRL,1 C00074; 1 C03175,1 C00009; 1 C01269,Km_C00009: 0.856163681; Km_C01269: 0.011; Km_C00074: 103333342.9467; Km_C03175: 182000019.23828,Kcat_F: 14.0; Kcat_R: 0.0403616535,C01269;C00009;C00074;C03175,C00009_KI: 0.856163681;C01269_KI: 0.085801534;C03175_KI: 0.051672556;C00074_KI: 0.04457774,Keq: 773.4091826195146
WP_000153940.1,2.1.1.14,Escherichia coli,R33,5-methyltetrahydropteroyltriglutamate-homocysteine s-methyltransferase,R04405,MRL,1 C00155; 1 C04489,1 C00073; 1 C04144,Km_C00073: 0.131620228; Km_C04144: 0.016370501; Km_C00155: 0.034600995; Km_C04489: 0.0044,Kcat_F: 7.3117673; Kcat_R: 7.8963314295,C05335;C05698;C04144;C00155;C00073;C04489,C05335_KI: 0.136585623;C00073_KI: 0.131620228;C00155_KI: 0.034600995;C04489_KI: 0.015929598;C04144_KI: 0.016370501;C05698_KI: 0.067021389,Keq: 6580270.406297702
WP_000153940.1,2.1.1.14,Escherichia coli,R34,5-methyltetrahydropteroyltriglutamate-homocysteine s-methyltransferase,R09365,MRL,1 C04489; 1 C05698,1 C04144; 1 C05335,Km_C04144: 0.016370501; Km_C05335: 0.136585623; Km_C04489: 0.0044; Km_C05698: 0.05245204133333333,Kcat_F: 7.154480043; Kcat_R: 4.279314201,C05335;C05698;C04144;C00155;C00073;C04489,C05335_KI: 0.136585623;C00073_KI: 0.131620228;C00155_KI: 0.034600995;C04489_KI: 0.015929598;C04144_KI: 0.016370501;C05698_KI: 0.067021389,Keq: 1
