Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
WP_000800512.1,4.1.2.14,Escherichia coli,R10,2-dehydro-3-deoxy-phosphogluconate aldolase,R05605,MRL,1 C04442,1 C00022; 1 C00118,Km_C00022: 10.0; Km_C00118: 0.739241421; Km_C04442: 415.05,Kcat_F: 83.0; Kcat_R: 1.5123339535000002,C00048;C00022;C00345;C05946;C00118;C00661;C04442,C00048_KI: 0.872616529;C05946_KI: 0.528768599;C04442_KI: 0.180845678;C00118_KI: 0.739241421;C00022_KI: 1.110617399;C00345_KI: 0.15314056;C00661_KI: 0.739241421,Keq: 0.0014095449663227091
WP_000800512.1,4.1.2.14,Escherichia coli,R11,2-dehydro-3-deoxy-phosphogluconate aldolase,R00471,MRL,1 C05946,1 C00022; 1 C00048,Km_C00022: 10.0; Km_C00048: 0.872616529; Km_C05946: 0.528768599,Kcat_F: 1.249629426; Kcat_R: 0.630864713,C00048;C00022;C00345;C05946;C00118;C00661;C04442,C00048_KI: 0.872616529;C05946_KI: 0.528768599;C04442_KI: 0.180845678;C00118_KI: 0.739241421;C00022_KI: 1.110617399;C00345_KI: 0.15314056;C00661_KI: 0.739241421,Keq: 0.001083095101461444
WP_001012606.1,2.2.1.6,Escherichia coli,R62,Acetolactate synthase,R00226,MRL,1 C00011; 1 C06010,2 C00022,Km_C00022: 11.079999999999998; Km_C00011: 5.445468903; Km_C06010: 0.855534971,Kcat_F: 4.7650851455000005; Kcat_R: 38.599999999999994,C00022;C06010;C00109;C00011;C05125;C06006;C00900;C00068,C00022_KI: 5.789785385;C00011_KI: 5.445468903;C05125_KI: 0.086339578;C00068_KI: 0.119095407;C06010_KI: 0.855534971;C00109_KI: 4.494002342;C06006_KI: 1.518301487;C00900_KI: 0.855534971,Keq: 1.8368421483937752e-05
WP_001012606.1,2.2.1.6,Escherichia coli,R63,Acetolactate synthase,R08648,MRL,1 C00022; 1 C00109,1 C00011; 1 C06006,Km_C00011: 5.445468903; Km_C06006: 1.518301487; Km_C00022: 11.079999999999998; Km_C00109: 150.0055,Kcat_F: 20.949999999999996; Kcat_R: 4.669526023,C00022;C06010;C00109;C00011;C05125;C06006;C00900;C00068,C00022_KI: 5.789785385;C00011_KI: 5.445468903;C05125_KI: 0.086339578;C00068_KI: 0.119095407;C06010_KI: 0.855534971;C00109_KI: 4.494002342;C06006_KI: 1.518301487;C00900_KI: 0.855534971,Keq: 1611.9619684471538
WP_000486988.1,2.6.1.57,Escherichia coli,R105,Aromatic-amino-acid transaminase,R01731,MRL,1 C00036; 1 C00826,1 C00049; 1 C00254,Km_C00049: 2.391444206; Km_C00254: 0.201490313; Km_C00036: 3.465; Km_C00826: 0.346813947,Kcat_F: 402.80647095; Kcat_R: 337.96564494999996,C00025;C00972;C01179;C00082;C00826;C00166;C01180;C00079;C00026;C00036;C01021;C00254;C00049;C00073,C01180_KI: 1.284476519;C00073_KI: 1.71113801;C00036_KI: 0.433308303;C00972_KI: 0.9302305559166667;C00049_KI: 2.391444206;C00254_KI: 0.201490313;C01021_KI: 0.9302305559166667;C01179_KI: 0.110603712;C00079_KI: 0.317666709;C00166_KI: 0.129698142;C00026_KI: 1.154019117;C00025_KI: 2.838407993;C00082_KI: 0.2436997;C00826_KI: 0.346813947,Keq: 148.3626546810199
WP_000462687.1,2.6.1.1,Escherichia coli,R113,Aspartate transaminase,R00355,MRL,1 C00026; 1 C00049,1 C00025; 1 C00036,Km_C00025: 2.310521364; Km_C00036: 0.19; Km_C00026: 0.59; Km_C00049: 1.757862926,Kcat_F: 1.267048558; Kcat_R: 1.277564804,C05527;C00957;C00025;C01179;C00082;C00097;C00166;C00079;C05946;C00026;C00036;C00302;C05528;C00506;C00049;C05947;C00606,C05946_KI: 0.856565714;C00079_KI: 0.573835731;C00025_KI: 2.310521364;C05527_KI: 0.679305136;C00166_KI: 0.214944422;C00097_KI: 0.263825059;C00506_KI: 1.337970138;C00026_KI: 0.759377718;C00606_KI: 1.276833773;C00082_KI: 0.365888625;C00049_KI: 1.757862926;C05947_KI: 0.695976257;C00036_KI: 0.293137431;C01179_KI: 0.146892369;C05528_KI: 0.4964104;C00957_KI: 0.907967806;C00302_KI: 2.310521364,Keq: 0.3183762106914854
,2.3.3.8,Escherichia coli,R123,Atp citrate synthase,R00352,MRL,1 C00002; 1 C00010; 1 C00158,1 C00008; 1 C00009; 1 C00024; 1 C00036,Km_C00008: 11.421359055528603; Km_C00009: 11.421359055528603; Km_C00024: 11.421359055528603; Km_C00036: 11.421359055528603; Km_C00002: 11.421359055528603; Km_C00010: 11.421359055528603; Km_C00158: 11.421359055528603,Kcat_F: 19.78221183941891; Kcat_R: 19.78221183941891,C00036;C00008,C00036_KI: 0.18;C00008_KI: 0.1,Keq: 0.02520442315960882
,2.3.3.16,Escherichia coli,R157,Citrate synthase,R00351,MRL,1 C00010; 1 C00158,1 C00001; 1 C00024; 1 C00036,Km_C00158: 0.206155464; Km_C00010: 0.065331496; Km_C00024: 0.052596927; Km_C00001: 0.965167284; Km_C00036: 0.069584779,Kcat_F: 33.803514055; Kcat_R: 47.3506715233333,C00158HCT;C00154;C01367;C00026;C00100;C00004,C00158HCT_KI: 0.206155464;C00154_KI: 0.0566573105752468;C01367_KI: 0.0404240079224109;C00026_KI: 0.1462313681840896;C00100_KI: 0.0563869215548038;C00004_KI: 0.0366801843047142,Keq: 1.6057484977815639e-07
WP_000102485.1,1.8.1.4,Escherichia coli,R171,Dihydrolipoyl dehydrogenase,R00209,MRL,1 C00003; 1 C00010; 1 C00022,1 C00004; 1 C00011; 1 C00024; 1 C00080,Km_C00004: 0.021393653; Km_C00011: 0.555787563; Km_C00024: 0.026133817; Km_C00080: 0.225048855; Km_C00003: 0.089765757; Km_C00010: 0.030270519; Km_C00022: 0.3933333333333333,Kcat_F: 231.67734093333334; Kcat_R: 276.38021813333336,C00003;C02972;C00024;C00248;C02051;C16832;C00579;C15972;C00010;C00143;C00091;C00037;C15973;C00527;C00014;C00011;C00026;C00022;C00004;C00101;C00322;C00080;C16237,C00579_KI: 0.311786413;C00004_KI: 0.021393653;C00024_KI: 0.026133817;C00037_KI: 0.678076088;C00010_KI: 0.030270519;C15972_KI: 0.056440994;C16237_KI: 0.063766681;C00080_KI: 0.225048855;C00101_KI: 0.028163046;C02051_KI: 0.19364343047619043;C00003_KI: 0.089765757;C00143_KI: 0.019876115;C00248_KI: 0.415237725;C00011_KI: 0.555787563;C00022_KI: 0.362687021;C02972_KI: 0.19364343047619043;C00091_KI: 0.020413773;C15973_KI: 0.070260912;C00026_KI: 0.162106812;C00014_KI: 0.673851371;C00527_KI: 0.020277608;C16832_KI: 0.118229039;C00322_KI: 0.116938278,Keq: 998855.9306379288
WP_000963518.1,2.3.1.12,Escherichia coli,R175,Dihydrolipoyllysine-residue acetyltransferase,R00209,MRL,1 C00003; 1 C00010; 1 C00022,1 C00004; 1 C00011; 1 C00024; 1 C00080,Km_C00004: 0.023208896; Km_C00011: 0.280183613; Km_C00024: 0.026032073; Km_C00080: 0.221310824; Km_C00003: 0.026235035; Km_C00010: 0.031586375; Km_C00022: 0.168190986,Kcat_F: 26.416886086666665; Kcat_R: 29.571134916666665,C00022;C15973;C00003;C00004;C00011;C00024;C00010;C16255;C00080,C00010_KI: 0.031586375;C00003_KI: 0.026235035;C00022_KI: 0.168190986;C00024_KI: 0.026032073;C00080_KI: 0.221310824;C16255_KI: 0.18516545;C00004_KI: 0.023208896;C15973_KI: 0.013259572;C00011_KI: 0.280183613,Keq: 998855.9306379288
