Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
WP_000191372.1,2.3.1.39,Escherichia coli,R2,[acyl-carrier-protein] s-malonyltransferase,R01626,MRL,1 C00083; 1 C00229,1 C00010; 1 C01209,Km_C00010: 0.065542154; Km_C01209: 0.14874738466666668; Km_C00083: 0.029699999999999997; Km_C00229: 0.351,Kcat_F: 1050.000235; Kcat_R: 9.578607456,,,Keq: 1
WP_000095707.1,2.7.2.1,Escherichia coli,R56,Acetate kinase,R00315,MRL,1 C00002; 1 C00033,1 C00008; 1 C00227,Km_C00008: 0.151691675; Km_C00227: 1.3033333333333335; Km_C00002: 0.122388884; Km_C00033: 46.92825317,Kcat_F: 1.4999326265; Kcat_R: 776.364246988,,,Keq: 0.0035291418980283843
WP_000095707.1,2.7.2.1,Escherichia coli,R57,Acetate kinase,R01353,MRL,1 C00002; 1 C00163,1 C00008; 1 C02876,Km_C00008: 0.151691675; Km_C02876: 0.5455302; Km_C00002: 0.122388884; Km_C00163: 27.57633972,Kcat_F: 1.0643798169999998; Kcat_R: 2.623737873,,,Keq: 1.6234889088636884e-06
WP_000078239.1,6.2.1.1,Escherichia coli,R58,Acetate-coa ligase,R00235,MRL,1 C00002; 1 C00010; 1 C00033,1 C00013; 1 C00020; 1 C00024,Km_C00013: 0.13318713; Km_C00020: 0.053331587; Km_C00024: 0.055413216; Km_C00002: 0.05487762; Km_C00010: 0.077155121; Km_C00033: 2.543298721,Kcat_F: 4.182973017; Kcat_R: 3.076708990333333,,,Keq: 27.390597980701735
WP_000078239.1,6.2.1.1,Escherichia coli,R59,Acetate-coa ligase,R00236,MRL,1 C00010; 1 C05993,1 C00020; 1 C00024,Km_C00020: 0.053331587; Km_C00024: 0.055413216; Km_C00010: 0.077155121; Km_C05993: 0.045171168,Kcat_F: 5.9861884414999995; Kcat_R: 4.5128109405,,,Keq: 1
WP_000078239.1,6.2.1.1,Escherichia coli,R60,Acetate-coa ligase,R00316,MRL,1 C00002; 1 C00033,1 C00013; 1 C05993,Km_C00013: 0.13318713; Km_C05993: 0.045171168; Km_C00002: 0.05487762; Km_C00033: 2.543298721,Kcat_F: 3.271660328; Kcat_R: 3.085641789,,,Keq: 1
WP_000078239.1,6.2.1.1,Escherichia coli,R61,Acetate-coa ligase,R00925,MRL,1 C00002; 1 C00010; 1 C00163,1 C00013; 1 C00020; 1 C00100,Km_C00013: 0.13318713; Km_C00020: 0.053331587; Km_C00100: 0.054458927; Km_C00002: 0.05487762; Km_C00010: 0.077155121; Km_C00163: 1.640108466,Kcat_F: 4.2899591280000005; Kcat_R: 3.1908125446666666,,,Keq: 1.5879081427165866
WP_001012606.1,2.2.1.6,Escherichia coli,R62,Acetolactate synthase,R00226,MRL,1 C00011; 1 C06010,2 C00022,Km_C00022: 11.079999999999998; Km_C00011: 5.445468903; Km_C06010: 0.855534971,Kcat_F: 4.7650851455000005; Kcat_R: 38.599999999999994,,,Keq: 1.8368421483937752e-05
WP_001012606.1,2.2.1.6,Escherichia coli,R63,Acetolactate synthase,R08648,MRL,1 C00022; 1 C00109,1 C00011; 1 C06006,Km_C00011: 5.445468903; Km_C06006: 1.518301487; Km_C00022: 11.079999999999998; Km_C00109: 150.0055,Kcat_F: 20.949999999999996; Kcat_R: 4.669526023,,,Keq: 1611.9619684471538
WP_000055746.1,6.4.1.2,Escherichia coli,R64,Acetyl-coa carboxylase,R00742,MRL,1 C00002; 1 C00024; 1 C00011,1 C00008; 1 C00009; 1 C00083,Km_C00008: 0.041535225; Km_C00009: 0.312815398; Km_C00083: 0.1; Km_C00002: 0.031438239; Km_C00024: 0.023739677; Km_C00011: 0.259498209,Kcat_F: 0.26705086833333336; Kcat_R: 0.21057309933333335,,,Keq: 39.32771904303767
WP_001307570.1,4.2.1.3,Escherichia coli,R69,Aconitate hydratase,R01324,MRL,1 C00158,1 C00311,Km_C00311: 0.339520901; Km_C00158: 1.662616611,Kcat_F: 6.538237947; Kcat_R: 5.557925254,,,Keq: 0.06308443380260503
WP_001307570.1,4.2.1.3,Escherichia coli,R70,Aconitate hydratase,R01325,MRL,1 C00158,1 C00001; 1 C00417,Km_C00001: 2.687092781; Km_C00417: 0.037000000000000005; Km_C00158: 1.662616611,Kcat_F: 6.538237947; Kcat_R: 34.618153544500004,,,Keq: 0.0327657690064193
WP_001307570.1,4.2.1.3,Escherichia coli,R71,Aconitate hydratase,R01900,MRL,1 C00311,1 C00001; 1 C00417,Km_C00001: 2.687092781; Km_C00417: 0.037000000000000005; Km_C00311: 0.339520901,Kcat_F: 5.557925254; Kcat_R: 34.618153544500004,,,Keq: 0.5193954678097826
,6.3.4.5,Escherichia coli,R102,Argininosuccinate synthase,R01954,MRL,1 C00002; 1 C00049; 1 C00327,1 C00013; 1 C00020; 1 C03406,Km_C00013: 0.359019458; Km_C00020: 0.05730173; Km_C03406: 0.255128026; Km_C00002: 0.063633703; Km_C00049: 0.976605654; Km_C00327: 0.332633585,Kcat_F: 18.339954576333334; Kcat_R: 21.6042526,,,Keq: 5.7153927441859125
,6.3.5.4,Escherichia coli,R107,Asparagine synthase (glutamine-hydrolysing),R00256,MRL,1 C00001; 1 C00064,1 C00014; 1 C00025,Km_C00014: 0.868321598; Km_C00025: 0.753711462; Km_C00001: 0.533058226; Km_C00064: 0.542225182,Kcat_F: 1.2745223545; Kcat_R: 1.6232639815,,,Keq: 327.0234310109829
,6.3.5.4,Escherichia coli,R108,Asparagine synthase (glutamine-hydrolysing),R00483,MRL,1 C00002; 1 C00014; 1 C00049,1 C00013; 1 C00020; 1 C00152,Km_C00013: 0.234596208; Km_C00020: 0.06555289; Km_C00152: 0.582034588; Km_C00002: 0.072208658; Km_C00014: 0.868321598; Km_C00049: 0.928563893,Kcat_F: 1.427939326; Kcat_R: 0.607987396,,,Keq: 31656.945706995662
,6.3.5.4,Escherichia coli,R109,Asparagine synthase (glutamine-hydrolysing),R00578,MRL,1 C00001; 1 C00002; 1 C00049; 1 C00064,1 C00013; 1 C00020; 1 C00025; 1 C00152,Km_C00013: 0.234596208; Km_C00020: 0.06555289; Km_C00025: 0.753711462; Km_C00152: 0.582034588; Km_C00001: 0.533058226; Km_C00002: 0.072208658; Km_C00049: 0.928563893; Km_C00064: 0.542225182,Kcat_F: 1.0556027235; Kcat_R: 0.6150095895000001,,,Keq: 10352563.000430835
,4.3.1.1,Escherichia coli,R111,Aspartate ammonia-lyase,R00490,MRL,1 C00049,1 C00014; 1 C00122,Km_C00014: 12.20387268; Km_C00122: 0.828558326; Km_C00049: 1.195170283,Kcat_F: 138.3736857; Kcat_R: 10064.76036055,,,Keq: 0.004908339669086742
,2.3.3.8,Escherichia coli,R123,Atp citrate synthase,R00352,MRL,1 C00002; 1 C00010; 1 C00158,1 C00008; 1 C00009; 1 C00024; 1 C00036,Km_C00008: 11.421359055528603; Km_C00009: 11.421359055528603; Km_C00024: 11.421359055528603; Km_C00036: 11.421359055528603; Km_C00002: 11.421359055528603; Km_C00010: 11.421359055528603; Km_C00158: 11.421359055528603,Kcat_F: 19.78221183941891; Kcat_R: 19.78221183941891,,,Keq: 0.02520442315960882
,3.2.1.21,Escherichia coli,R129,Beta-glucosidase,R00306,MRL,1 C00001; 1 C00185,2 C00031,Km_C00031: 4.007536411; Km_C00001: 0.826479375; Km_C00185: 2.858436584,Kcat_F: 3.7550055325000002; Kcat_R: 3.25420191,,,Keq: 174.95330633871794
,3.2.1.21,Escherichia coli,R130,Beta-glucosidase,R02887,MRL,1 C00001; 1 C00760,1 C00221; 1 C00760,Km_C00221: 4.007536411; Km_C00760: 2.417007893; Km_C00001: 0.826479375,Kcat_F: 2.29805655; Kcat_R: 3.25420191,,,Keq: 1e-12
,3.2.1.21,Escherichia coli,R131,Beta-glucosidase,R03527,MRL,1 C00001; 1 C01798,1 C00267; 1 C01335,Km_C00267: 4.007536411; Km_C01335: 2.417007893; Km_C00001: 0.826479375; Km_C01798: 2.417007893,Kcat_F: 2.29805655; Kcat_R: 3.25420191,,,Keq: 1
,6.3.5.5,Escherichia coli,R154,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R00256,MRL,1 C00001; 1 C00064,1 C00014; 1 C00025,Km_C00014: 2.051671028; Km_C00025: 0.995128751; Km_C00001: 0.812423646; Km_C00064: 0.4618738,Kcat_F: 5.6714782029999995; Kcat_R: 9.3347956045,,,Keq: 327.0234310109829
,6.3.5.5,Escherichia coli,R155,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R00575,MRL,1 C00001; 2 C00002; 1 C00064; 1 C00011,2 C00008; 1 C00009; 1 C00025; 1 C00169,Km_C00008: 0.055322122; Km_C00009: 1.365577102; Km_C00025: 0.995128751; Km_C00169: 0.34583804; Km_C00001: 0.812423646; Km_C00002: 0.067236871; Km_C00064: 0.4618738; Km_C00011: 1.4766666666666666,Kcat_F: 4.78089486975; Kcat_R: 5.17748061675,,,Keq: 432.32195897164945
,2.3.3.16,Escherichia coli,R157,Citrate synthase,R00351,MRL,1 C00010; 1 C00158,1 C00001; 1 C00024; 1 C00036,Km_C00158: 0.206155464; Km_C00010: 0.065331496; Km_C00024: 0.052596927; Km_C00001: 0.965167284; Km_C00036: 0.069584779,Kcat_F: 33.803514055; Kcat_R: 47.3506715233333,C00158HCT;C01367;C00026;C00100;C00004,C00158HCT_KI: 0.206155464;C01367_KI: 0.0404240079224109;C00026_KI: 0.1462313681840896;C00100_KI: 0.0563869215548038;C00004_KI: 0.0366801843047142,Keq: 1.6057484977815639e-07
WP_000762229.1,1.1.1.28,Escherichia coli,R181,D-lactate dehydrogenase,R00704,MRL,1 C00003; 1 C00256,1 C00004; 1 C00022; 1 C00080,Km_C00004: 0.08124999999999999; Km_C00022: 5.975; Km_C00080: 2.627151012; Km_C00003: 0.073235102; Km_C00256: 0.774313986,Kcat_F: 137.86074693; Kcat_R: 541.25,,,Keq: 0.0002419607076574943
WP_000853753.1,3.1.3.11,Escherichia coli,R199,Fructose-bisphosphatase,R00762,MRL,1 C00001; 1 C00354,1 C00009; 1 C00085,Km_C00009: 0.320538223; Km_C00085: 0.137154579; Km_C00001: 0.495092779; Km_C00354: 0.068225,Kcat_F: 9.2345918115; Kcat_R: 0.289105657,,,Keq: 118.59147723031069
WP_000853753.1,3.1.3.11,Escherichia coli,R200,Fructose-bisphosphatase,R01845,MRL,1 C00001; 1 C00447,1 C00009; 1 C05382,Km_C00009: 0.320538223; Km_C05382: 0.01538996; Km_C00001: 0.495092779; Km_C00447: 0.011786909,Kcat_F: 1.8592338759999998; Kcat_R: 0.5713370975,,,Keq: 195.33577279060992
WP_000034372.1,4.1.2.13,Escherichia coli,R201,Fructose-bisphosphate aldolase,R01068,MRL,1 C00354,1 C00111; 1 C00118,Km_C00111: 0.219039723; Km_C00118: 0.376360387; Km_C00354: 0.18,Kcat_F: 6.242500000000001; Kcat_R: 3.7595076315,,,Keq: 8.703975959054509e-05
WP_000034372.1,4.1.2.13,Escherichia coli,R202,Fructose-bisphosphate aldolase,R01829,MRL,1 C00447,1 C00111; 1 C00279,Km_C00111: 0.219039723; Km_C00279: 0.159231856; Km_C00447: 0.078385606,Kcat_F: 2.649514207; Kcat_R: 2.9558872515,,,Keq: 0.00020935268260097612
WP_000034372.1,4.1.2.13,Escherichia coli,R203,Fructose-bisphosphate aldolase,R02568,MRL,1 C01094,1 C00111; 1 C00577,Km_C00111: 0.219039723; Km_C00577: 1.749873877; Km_C01094: 0.699701726,Kcat_F: 0.462073109; Kcat_R: 3.55576296,,,Keq: 8.493038158429194e-06
WP_000066639.1,4.2.1.2,Escherichia coli,R204,Fumarate hydratase,R01082,MRL,1 C00149,1 C00001; 1 C00122,Km_C00001: 6.656438828; Km_C00122: 0.910608768; Km_C00149: 1.7,Kcat_F: 55.60223539; Kcat_R: 2921.884996635,,,Keq: 0.25101855338099716
WP_000301720.1,1.1.1.49,Escherichia coli,R208,Glucose-6-phosphate dehydrogenase (nadp+),R02736,MRL,1 C00006; 1 C01172,1 C00005; 1 C00080; 1 C01236,Km_C00005: 0.008727342; Km_C00080: 1.316865087; Km_C01236: 0.131362155; Km_C00006: 11600.005874999999; Km_C01172: 0.200977385,Kcat_F: 93.754836675; Kcat_R: 13.76294708,,,Keq: 247.4453971386742
WP_000789986.1,5.3.1.9,Escherichia coli,R209,Glucose-6-phosphate isomerase,R00771,MRL,1 C00092,1 C00085,Km_C00085: 0.2; Km_C00092: 0.28,Kcat_F: 1.292204517; Kcat_R: 0.832305128,,,Keq: 0.34489156866158693
WP_000789986.1,5.3.1.9,Escherichia coli,R210,Glucose-6-phosphate isomerase,R02739,MRL,1 C00668,1 C01172,Km_C01172: 0.678788722; Km_C00668: 0.678788722,Kcat_F: 1.292204517; Kcat_R: 1.292204517,,,Keq: 1.6981781019990725
,1.2.1.41,Escherichia coli,R213,Glutamate-5-semialdehyde dehydrogenase,R03313,MRL,1 C00006; 1 C00009; 1 C01165,1 C00005; 1 C00080; 1 C03287,Km_C00005: 0.039560795; Km_C00080: 0.657063842; Km_C03287: 0.307542831; Km_C00006: 0.11499999999999999; Km_C00009: 1.657769561; Km_C01165: 2.5,Kcat_F: 9.454818469333333; Kcat_R: 17.390773305,,,Keq: 0.046095697534659925
WP_001271717.1,6.3.1.2,Escherichia coli,R216,Glutamine synthetase,R00253,MRL,1 C00002; 1 C00014; 1 C00025,1 C00008; 1 C00009; 1 C00064,Km_C00008: 0.066132165; Km_C00009: 1.038618565; Km_C00064: 0.467974067; Km_C00002: 0.080664948; Km_C00014: 0.269162536; Km_C00025: 0.546636522,Kcat_F: 46.37365841333334; Kcat_R: 51.98955729333334,,,Keq: 479.9769341384216
WP_000153502.1,1.2.1.12,Escherichia coli,R222,Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),R01061,MRL,1 C00003; 1 C00009; 1 C00118,1 C00004; 1 C00080; 1 C00236,Km_C00004: 0.028803103; Km_C00080: 2.130417585; Km_C00236: 0.063416369; Km_C00003: 0.071162768; Km_C00009: 1.398443699; Km_C00118: 0.355474025,Kcat_F: 9.585562447333333; Kcat_R: 13.156970524999998,,,Keq: 0.625512213354187
WP_001213837.1,2.3.1.29,Escherichia coli,R224,Glycine c-acetyltransferase,R00371,MRL,1 C00024; 1 C00037,1 C00010; 1 C03508,Km_C00010: 0.068333149; Km_C03508: 1.101451039; Km_C00024: 0.059; Km_C00037: 5.073134899,Kcat_F: 3.7902290295; Kcat_R: 6.892366117,,,Keq: 1.7723810792894896e-06
WP_000195061.1,1.4.4.2,Escherichia coli,R225,Glycine dehydrogenase (aminomethyl-transferring),R03425,MRL,1 C00037; 1 C02051,1 C00011; 1 C01242,Km_C00011: 1.169795871; Km_C01242: 2.101050198; Km_C00037: 3.032304525; Km_C02051: 2.101050198,Kcat_F: 2.631662783; Kcat_R: 4.818350786,,,Keq: 1
WP_000195061.1,1.4.4.2,Escherichia coli,R226,Glycine dehydrogenase (aminomethyl-transferring),R01221,MRL,1 C00003; 1 C00037; 1 C00101,1 C00004; 1 C00011; 1 C00014; 1 C00080; 1 C00143,Km_C00004: 0.05554235; Km_C00011: 1.169795871; Km_C00014: 4.617711544; Km_C00080: 1.926282167; Km_C00143: 0.049179409; Km_C00003: 0.143204287; Km_C00037: 3.032304525; Km_C00101: 0.104562275,Kcat_F: 4.200407821; Kcat_R: 7.395899598,,,Keq: 0.00014118454869627972
WP_000919159.1,2.1.2.1,Escherichia coli,R227,Glycine hydroxymethyltransferase,R00945,MRL,1 C00001; 1 C00037; 1 C00143,1 C00065; 1 C00101,Km_C00065: 0.680456936; Km_C00101: 0.048434764; Km_C00001: 1.743806124; Km_C00037: 1.084210277; Km_C00143: 0.031294227,Kcat_F: 0.721411978; Kcat_R: 1.1328265275,,,Keq: 0.06610281648507778
WP_000919159.1,2.1.2.1,Escherichia coli,R228,Glycine hydroxymethyltransferase,R09099,MRL,1 C00065; 1 C01217,1 C00001; 1 C00037; 1 C04377,Km_C00001: 1.743806124; Km_C00037: 1.084210277; Km_C04377: 0.032590855; Km_C00065: 0.680456936; Km_C01217: 0.029256012,Kcat_F: 0.9187239225; Kcat_R: 0.7097989373333333,,,Keq: 33.9072014058265
,6.3.5.2,Escherichia coli,R231,Gmp synthase (glutamine-hydrolysing),R01231,MRL,1 C00001; 1 C00002; 1 C00064; 1 C00655,1 C00013; 1 C00020; 1 C00025; 1 C00144,Km_C00013: 0.292456239; Km_C00020: 0.061671037; Km_C00025: 0.988497317; Km_C00144: 0.060012028; Km_C00001: 1.769340515; Km_C00002: 0.074884042; Km_C00064: 0.369729847; Km_C00655: 0.066067107,Kcat_F: 3.41996632525; Kcat_R: 2.60169002925,,,Keq: 1
,6.3.5.2,Escherichia coli,R232,Gmp synthase (glutamine-hydrolysing),R01230,MRL,1 C00002; 1 C00014; 1 C00655,1 C00013; 1 C00020; 1 C00144,Km_C00013: 0.292456239; Km_C00020: 0.061671037; Km_C00144: 0.060012028; Km_C00002: 0.074884042; Km_C00014: 3.654191256; Km_C00655: 0.066067107,Kcat_F: 4.195815674333333; Kcat_R: 2.3963256556666668,,,Keq: 1
,1.1.1.42,Escherichia coli,R255,Isocitrate dehydrogenase (nadp+),R00267,MRL,1 C00006; 1 C00311,1 C00005; 1 C00011; 1 C00026; 1 C00080,Km_C00005: 0.000715; Km_C00011: 0.505214036; Km_C00026: 2.75; Km_C00080: 2.13827467; Km_C00006: 0.01485; Km_C00311: 0.074271195,Kcat_F: 45.913566013; Kcat_R: 7.140433394333333,,,Keq: 0.11281894315674511
,1.1.1.42,Escherichia coli,R256,Isocitrate dehydrogenase (nadp+),R00268,MRL,1 C05379,1 C00011; 1 C00026,Km_C00011: 0.505214036; Km_C00026: 2.75; Km_C05379: 0.069090471,Kcat_F: 22.23114258; Kcat_R: 5.840927925,,,Keq: 63.94430239079518
,1.1.1.42,Escherichia coli,R257,Isocitrate dehydrogenase (nadp+),R01899,MRL,1 C00006; 1 C00311,1 C00005; 1 C00080; 1 C05379,Km_C00005: 0.000715; Km_C00080: 2.13827467; Km_C05379: 0.069090471; Km_C00006: 0.01485; Km_C00311: 0.074271195,Kcat_F: 45.913566013; Kcat_R: 15.985293456499999,,,Keq: 0.0017643314406223848
WP_000857856.1,4.1.3.1,Escherichia coli,R258,Isocitrate lyase,R00479,MRL,1 C00311,1 C00042; 1 C00048,Km_C00042: 0.59; Km_C00048: 0.13; Km_C00311: 0.235073432,Kcat_F: 8.906025968; Kcat_R: 13.468705019500002,,,Keq: 0.021305645878763865
WP_001295272.1,1.1.1.37,Escherichia coli,R268,Malate dehydrogenase,R00342,MRL,1 C00003; 1 C00149,1 C00004; 1 C00036; 1 C00080,Km_C00004: 0.061; Km_C00036: 0.0445; Km_C00080: 1.627506971; Km_C00003: 0.105280019; Km_C00149: 0.00012,Kcat_F: 3.0071600060000003; Kcat_R: 467.479811568,,,Keq: 2.2614869409243306e-05
WP_000433476.1,1.1.1.38,Escherichia coli,R270,Malate dehydrogenase (oxaloacetate-decarboxylating),R00214,MRL,1 C00003; 1 C00149,1 C00004; 1 C00011; 1 C00022; 1 C00080,Km_C00004: 0.025; Km_C00011: 2.194042683; Km_C00022: 1.729395628; Km_C00080: 11.55059338; Km_C00003: 0.065783687; Km_C00149: 0.42,Kcat_F: 69.8151725645; Kcat_R: 6.5988501500000005,,,Keq: 0.0075538015167582965
WP_000433476.1,1.1.1.38,Escherichia coli,R271,Malate dehydrogenase (oxaloacetate-decarboxylating),R00217,MRL,1 C00036,1 C00011; 1 C00022,Km_C00011: 2.194042683; Km_C00022: 1.729395628; Km_C00036: 3.9666666666666663,Kcat_F: 12.41888125; Kcat_R: 7.0515107845,,,Keq: 334.01924106052337
