Accession Number,EC,Species,Label,Enzyme,Reaction ID,Substrates,Products,Km,Kcat,Inhibitors,Ki
WP_000789986.1,5.3.1.9,,R1,Glucose-6-phosphate isomerase,R00771,C00092,C00085,Km_C00085: 0.2; Km_C00092: 0.28,Kcat_F: 1.292204517; Kcat_R: 0.832305128,C00668,Ki_C00668: 0.678788722
WP_000789986.1,5.3.1.9,,R2,Glucose-6-phosphate isomerase,R02740,C00668,C05345,Km_C05345: 0.147; Km_C00668: 0.678788722,Kcat_F: 1.292204517; Kcat_R: 0.832305128,,
WP_000789986.1,5.3.1.9,,R3,Glucose-6-phosphate isomerase,R03321,C01172,C05345,Km_C05345: 0.147; Km_C01172: 0.678788722,Kcat_F: 1.292204517; Kcat_R: 0.832305128,,
WP_000789986.1,5.3.1.9,,R4,Glucose-6-phosphate isomerase,R02739,C00668,C01172,Km_C01172: 0.678788722; Km_C00668: 0.678788722,Kcat_F: 1.292204517; Kcat_R: 1.292204517,,
WP_000591795.1,2.7.1.11,,R5,6-phosphofructokinase,R00756,C00002; C00085,C00008; C00354,Km_C00008: 0.068868771; Km_C00354: 0.123040177; Km_C00002: 0.073803619; Km_C00085: 0.206363901,Kcat_F: 102.0948756; Kcat_R: 68.69468206549999,,
WP_000591795.1,2.7.1.11,,R6,6-phosphofructokinase,R04779,C00002; C05345,C00008; C05378,Km_C00008: 0.068868771; Km_C05378: 0.123040177; Km_C00002: 0.073803619; Km_C05345: 0.027499999999999997,Kcat_F: 72.24687560000001; Kcat_R: 68.69468206549999,,
WP_000591795.1,2.7.1.11,,R7,6-phosphofructokinase,R00767,C00063; C00085,C00112; C00354,Km_C00112: 0.0586504; Km_C00354: 0.123040177; Km_C00063: 11.0; Km_C00085: 0.206363901,Kcat_F: 113.35434365; Kcat_R: 83.0863661655,,
WP_000591795.1,2.7.1.11,,R8,6-phosphofructokinase,R00769,C00075; C00085,C00015; C00354,Km_C00015: 0.147311985; Km_C00354: 0.123040177; Km_C00075: 5.1; Km_C00085: 0.206363901,Kcat_F: 92.367321505; Kcat_R: 56.9284049655,,
WP_000591795.1,2.7.1.11,,R9,6-phosphofructokinase,R00770,C00081; C00085,C00104; C00354,Km_C00104: 0.077306546; Km_C00354: 0.123040177; Km_C00081: 2.2; Km_C00085: 0.206363901,Kcat_F: 90.43650879500001; Kcat_R: 55.868415515500004,,
WP_000591795.1,2.7.1.11,,R10,6-phosphofructokinase,R01843,C00002; C05382,C00008; C00447,Km_C00008: 0.068868771; Km_C00447: 0.107532084; Km_C00002: 0.073803619; Km_C05382: 2.5,Kcat_F: 59.2198756; Kcat_R: 113.13586243499999,,
