,Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
0,WP_001307570.1,4.2.1.3,Escherichia coli,R1,Aconitate hydratase,R01324,MRL,C00158,C00311,Km_C00311: 0.339520901; Km_C00158: 1.662616611,Kcat_F: 6.538237947; Kcat_R: 5.557925254,C00158;C00001;C00311;C00417,C00417_KI: 0.306959659;C00311_KI: 0.339520901;C00158_KI: 1.662616611;C00001_KI: 2.687092781
4,WP_000263098.1,2.7.7.6,Escherichia coli,R5,Dna-directed rna polymerase,R00435,MRL,C00002,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.066696228; Km_C00002: 0.034111816,Kcat_F: 0.09186744; Kcat_R: 0.003180952,C00013;C00201;C00063;C00044;C00002;C00075;C00046,C00075_KI: 0.110227138;C00013_KI: 0.09928064;C00046_KI: 0.06970829640000001;C00063_KI: 0.053723808;C00044_KI: 0.05119808;C00201_KI: 0.06970829640000001;C00002_KI: 0.034111816
9,WP_001181473.1,1.2.4.2,Escherichia coli,R10,Oxoglutarate dehydrogenase (succinyl-transferring),R00621,MRL,C00026; C00068,C00011; C05381,Km_C00011: 0.496151149; Km_C05381: 0.018866798; Km_C00026: 332.91150000000005; Km_C00068: 0.021916483,Kcat_F: 11.193305654000001; Kcat_R: 3.7177315589999997,C06157;C00527;C16254;C00003;C15972;C00004;C05381;C00011;C00026;C00036;C00010;C00322;C00068;C00080;C00091,C16254_KI: 0.022980487;C00080_KI: 0.608380556;C00011_KI: 0.496151149;C00068_KI: 0.021916483;C00527_KI: 0.052975662;C05381_KI: 0.018866798;C15972_KI: 0.020010605;C00003_KI: 0.127414092;C00010_KI: 0.066362962;C00322_KI: 0.131888092;C00004_KI: 0.035209294;C06157_KI: 0.13599052242857143;C00026_KI: 0.134084925;C00091_KI: 0.053117804;C00036_KI: 0.114508405
14,WP_000153502.1,1.2.1.12,Escherichia coli,R15,Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),R01061,MRL,C00003; C00009; C00118,C00004; C00080; C00236,Km_C00004: 0.028803103; Km_C00080: 2.130417585; Km_C00236: 0.063416369; Km_C00003: 0.071162768; Km_C00009: 1.398443699; Km_C00118: 0.355474025,Kcat_F: 9.585562447333333; Kcat_R: 13.156970524999998,C00236;C00003;C00008;C00020;C01478;C00004;C03444;C00661;C00575;C01159;C00118;C00002;C11215;C00009;C00074;C00080,C01478_KI: 1.313649774;C00080_KI: 2.130417585;C00004_KI: 0.028803103;C00575_KI: 0.02186417;C00003_KI: 0.071162768;C00236_KI: 0.063416369;C11215_KI: 0.41207666420000005;C00020_KI: 0.027926495;C01159_KI: 0.158010766;C00118_KI: 0.355474025;C00661_KI: 0.355474025;C00002_KI: 0.035671327;C00074_KI: 0.099881768;C03444_KI: 0.088304013;C00009_KI: 1.398443699;C00008_KI: 0.032650076
16,WP_000003829.1,1.2.4.1,Escherichia coli,R17,Pyruvate dehydrogenase (acetyl-transferring),R00014,MRL,C00022; C00068,C00011; C05125,Km_C00011: 0.413209707; Km_C05125: 0.008422038; Km_C00022: 0.38795; Km_C00068: 0.00158,Kcat_F: 20.805219947999998; Kcat_R: 3.9121252725,C00022;C00003;C15972;C00004;C00011;C00024;C00010;C16255;C05125;C00068;C00080,C15972_KI: 0.014058916;C00003_KI: 0.064532936;C00004_KI: 0.029656347;C00068_KI: 0.005806968;C00011_KI: 0.413209707;C00010_KI: 0.040530939;C05125_KI: 0.008422038;C16255_KI: 0.302165031;C00024_KI: 0.036603667;C00022_KI: 0.37054348;C00080_KI: 0.307893664
19,WP_001198386.1,5.2.1.8,Escherichia coli,R20,Peptidylprolyl isomerase,R04273,MRL,C03798,C03633,Km_C03633: 110225.86788231142; Km_C03798: 110225.86788231142,Kcat_F: 36.94316617111479; Kcat_R: 36.94316617111479,C03798;C03633,C03798_KI: 0.7791715536487968;C03633_KI: 0.7791715536487968
20,WP_001126376.1,6.3.5.5,Escherichia coli,R21,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R00256,MRL,C00001; C00064,C00014; C00025,Km_C00014: 2.051671028; Km_C00025: 0.995128751; Km_C00001: 0.812423646; Km_C00064: 0.4618738,Kcat_F: 5.6714782029999995; Kcat_R: 9.3347956045,C00025;C00008;C00014;C00169;C00001;C00011;C00002;C00064;C00009,C00009_KI: 1.365577102;C00014_KI: 2.051671028;C00002_KI: 0.067236871;C00001_KI: 0.812423646;C00008_KI: 0.055322122;C00011_KI: 1.407387018;C00169_KI: 0.34583804;C00025_KI: 0.995128751;C00064_KI: 0.4618738
26,WP_000102485.1,1.8.1.4,Escherichia coli,R27,Dihydrolipoyl dehydrogenase,R01221,MRL,C00003; C00037; C00101,C00004; C00011; C00014; C00080; C00143,Km_C00004: 0.021393653; Km_C00011: 0.555787563; Km_C00014: 0.673851371; Km_C00080: 0.225048855; Km_C00143: 0.019876115; Km_C00003: 0.089765757; Km_C00037: 0.678076088; Km_C00101: 0.028163046,Kcat_F: 97.07549719000001; Kcat_R: 292.699911325,C00003;C02972;C00024;C00248;C02051;C16832;C00579;C15972;C00010;C00143;C00091;C00037;C15973;C00527;C00014;C00011;C00026;C00022;C00004;C00101;C00322;C00080;C16237,C00579_KI: 0.311786413;C00004_KI: 0.021393653;C00024_KI: 0.026133817;C00037_KI: 0.678076088;C00010_KI: 0.030270519;C15972_KI: 0.056440994;C16237_KI: 0.063766681;C00080_KI: 0.225048855;C00101_KI: 0.028163046;C02051_KI: 0.19364343047619043;C00003_KI: 0.089765757;C00143_KI: 0.019876115;C00248_KI: 0.415237725;C00011_KI: 0.555787563;C00022_KI: 0.362687021;C02972_KI: 0.19364343047619043;C00091_KI: 0.020413773;C15973_KI: 0.070260912;C00026_KI: 0.162106812;C00014_KI: 0.673851371;C00527_KI: 0.020277608;C16832_KI: 0.118229039;C00322_KI: 0.116938278
28,WP_001048602.1,6.2.1.5,Escherichia coli,R29,Succinate-coa ligase (adp-forming),R00405,MRL,C00002; C00010; C00042,C00008; C00009; C00091,Km_C00008: 0.045971252; Km_C00009: 1.423858166; Km_C00091: 0.046856858; Km_C00002: 0.059107885; Km_C00010: 4.0; Km_C00042: 0.25,Kcat_F: 37.55658575333333; Kcat_R: 30.505424926666667,C00531;C00008;C00010;C00490;C00042;C00002;C00009;C00091,C00009_KI: 1.423858166;C00490_KI: 0.66515708;C00010_KI: 0.059806913;C00002_KI: 0.059107885;C00042_KI: 0.707435429;C00531_KI: 0.049482018;C00091_KI: 0.046856858;C00008_KI: 0.045971252
30,WP_000111269.1,2.7.2.3,Escherichia coli,R31,Phosphoglycerate kinase,R01512,MRL,C00002; C00197,C00008; C00236,Km_C00008: 0.098627448; Km_C00236: 0.186507493; Km_C00002: 0.099012464; Km_C00197: 0.717952311,Kcat_F: 46.065375720000006; Kcat_R: 21.028835975,C00002;C00236;C00197;C00008,C00002_KI: 0.099012464;C00236_KI: 0.186507493;C00197_KI: 0.717952311;C00008_KI: 0.098627448
31,WP_000047185.1,6.1.1.7,Escherichia coli,R32,Alanine-trna ligase,R03038,MRL,C00002; C00041; C01635,C00013; C00020; C00886,Km_C00013: 0.072413243; Km_C00020: 0.022911394; Km_C00886: 0.0706742942; Km_C00002: 0.025530493; Km_C00041: 0.230766341; Km_C01635: 0.0017499999999999998,Kcat_F: 1.517066951; Kcat_R: 1.5705551025000002,C00013;C00886;C00020;C00041;C01635;C00002,C00886_KI: 0.08790536774999999;C00041_KI: 0.230766341;C00020_KI: 0.022911394;C00002_KI: 0.025530493;C01635_KI: 0.08790536774999999;C00013_KI: 0.072413243
32,WP_000036723.1,4.2.1.11,Escherichia coli,R33,Phosphopyruvate hydratase,R00658,MRL,C00631,C00001; C00074,Km_C00001: 5.651566505; Km_C00074: 0.453958184; Km_C00631: 0.84220314,Kcat_F: 9.247853892; Kcat_R: 7.796041840500001,C03356;C00451;C16487;C00013;C04309;C00001;C00158;C00988;C00742;C00631;C00009;C00074,C00631_KI: 0.84220314;C16487_KI: 2.4210281972727272;C00074_KI: 0.453958184;C00158_KI: 0.579061747;C00013_KI: 0.621494234;C00001_KI: 5.651566505;C00742_KI: 13.93714619;C04309_KI: 0.453891814;C03356_KI: 0.439569116;C00988_KI: 0.731827319;C00451_KI: 0.397851557;C00009_KI: 2.522740364
35,WP_000098614.1,2.2.1.1,Escherichia coli,R36,Transketolase,R01067,MRL,C00085; C00118,C00231; C00279,Km_C00231: 0.16; Km_C00279: 0.09; Km_C00085: 1.1; Km_C00118: 0.189899758,Kcat_F: 6.662656223; Kcat_R: 6.459872708500001,C05382;C13378;C12215;C00231;C00279;C00117;C00068;C00118;C00704;C05345;C12214;C00085,C00068_KI: 0.038001269;C00085_KI: 0.556608438;C00231_KI: 0.256388038;C12214_KI: 0.445117503;C00117_KI: 0.911134601;C05382_KI: 0.174451798;C00279_KI: 0.152465016;C00118_KI: 0.189899758;C12215_KI: 0.399685681;C05345_KI: 0.556608438;C00704_KI: 0.188270763;C13378_KI: 0.3516937548181818
40,WP_000963518.1,2.3.1.12,Escherichia coli,R41,Dihydrolipoyllysine-residue acetyltransferase,R02569,MRL,C00024; C15973,C00010; C16255,Km_C00010: 0.031586375; Km_C16255: 0.18516545; Km_C00024: 0.026032073; Km_C15973: 0.013259572,Kcat_F: 17.828021274999998; Kcat_R: 22.70772977,C00022;C15973;C00003;C00004;C00011;C00024;C00010;C16255;C00080,C00010_KI: 0.031586375;C00003_KI: 0.026235035;C00022_KI: 0.168190986;C00024_KI: 0.026032073;C00080_KI: 0.221310824;C16255_KI: 0.18516545;C00004_KI: 0.023208896;C15973_KI: 0.013259572;C00011_KI: 0.280183613
42,WP_000024939.1,1.1.1.86,Escherichia coli,R43,Ketol-acid reductoisomerase (nadp+),R03051,MRL,C00005; C00080; C00900,C00006; C04039,Km_C00006: 0.030275; Km_C04039: 0.869013727; Km_C00005: 0.009843333333333334; Km_C00080: 4.059542179; Km_C00900: 0.25,Kcat_F: 0.9318333333333333; Kcat_R: 0.0022517500000000003,C00006;C06010;C06007;C04039;C04181;C00005;C06006;C00900;C14463;C00080;C04272,C04181_KI: 1.391577125;C06006_KI: 0.783738494;C04039_KI: 0.869013727;C06010_KI: 0.711560249;C04272_KI: 0.869013727;C00080_KI: 4.059542179;C00005_KI: 0.040613294;C00900_KI: 0.711560249;C06007_KI: 1.387176156;C14463_KI: 1.089072089;C00006_KI: 0.06692569
