Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
WP_001307570.1,4.2.1.3,Escherichia coli,,,,,,,,,,
WP_000263098.1,2.7.7.6,Escherichia coli,,,,,,,,,,
WP_001181473.1,1.2.4.2,Escherichia coli,,,,,,,,,,
WP_000653944.1,2.7.7.6,Escherichia coli,,,,,,,,,,
WP_000153502.1,1.2.1.12,Escherichia coli,,,,,,,,,,
WP_000003829.1,1.2.4.1,Escherichia coli,,,,,,,,,,
WP_001198386.1,5.2.1.8,Escherichia coli,,,,,,,,,,
WP_001126376.1,6.3.5.5,Escherichia coli,,,,,,,,,,
WP_000102485.1,1.8.1.4,Escherichia coli,,,,,,,,,,
WP_001048602.1,6.2.1.5,Escherichia coli,,,,,,,,,,
WP_000111269.1,2.7.2.3,Escherichia coli,,,,,,,,,,
WP_000047185.1,6.1.1.7,Escherichia coli,,,,,,,,,,
WP_000036723.1,4.2.1.11,Escherichia coli,,,,,,,,,,
WP_000098614.1,2.2.1.1,Escherichia coli,,,,,,,,,,
WP_000963518.1,2.3.1.12,Escherichia coli,,,,,,,,,,
WP_000024939.1,1.1.1.86,Escherichia coli,,,,,,,,,,
WP_000034402.1,2.5.1.47,Escherichia coli,,,,,,,,,,
WP_001295272.1,1.1.1.37,Escherichia coli,,,,,,,,,,
WP_001162094.1,2.7.7.6,Escherichia coli,,,,,,,,,,
WP_000130189.1,2.2.1.2,Escherichia coli,,,,,,,,,,
WP_001260712.1,6.1.1.15,Escherichia coli,,,,,,,,,,
WP_000052796.1,1.11.1.26,Escherichia coli,,,,,,,,,,
WP_001286879.1,6.1.1.5,Escherichia coli,,,,,,,,,,
WP_000069410.1,2.7.9.2,Escherichia coli,,,,,,,,,,
WP_000099823.1,2.3.1.61,Escherichia coli,,,,,,,,,,
WP_001265681.1,4.1.1.49,Escherichia coli,,,,,,,,,,
WP_000919159.1,2.1.2.1,Escherichia coli,,,,,,,,,,
WP_000066639.1,4.2.1.2,Escherichia coli,,,,,,,,,,
WP_000838261.1,5.2.1.8,Escherichia coli,,,,,,,,,,
WP_000672380.1,6.1.1.20,Escherichia coli,,,,,,,,,,
WP_000785834.1,2.3.3.16,Escherichia coli,,,,,,,,,,
