Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
WP_000789986.1,5.3.1.9,,R1,Glucose-6-phosphate isomerase,R00771,MRL,C00092,C00085,Km_C00085: 0.2; Km_C00092: 0.28,Kcat_F: 1.292204517; Kcat_R: 0.832305128,C00345;C00074;C00345;C00345;C00117;C00199,C00345_KI: 0.1329662054777145;C00074_KI: 0.1728342622518539;C00345_KI: 0.1329662054777145;C00345_KI: 0.1329662054777145;C00117_KI: 0.6574572324752808;C00199_KI: 0.2124285399913787
WP_000789986.1,5.3.1.9,,R2,Glucose-6-phosphate isomerase,R02740,MRL,C00668,C05345,Km_C05345: 0.147; Km_C00668: 0.678788722,Kcat_F: 1.292204517; Kcat_R: 0.832305128,C00345;C00074;C00345;C00345;C00117;C00199,C00345_KI: 0.1329662054777145;C00074_KI: 0.1728342622518539;C00345_KI: 0.1329662054777145;C00345_KI: 0.1329662054777145;C00117_KI: 0.6574572324752808;C00199_KI: 0.2124285399913787
WP_000789986.1,5.3.1.9,,R3,Glucose-6-phosphate isomerase,R03321,MRL,C01172,C05345,Km_C05345: 0.147; Km_C01172: 0.678788722,Kcat_F: 1.292204517; Kcat_R: 0.832305128,C00345;C00074;C00345;C00345;C00117;C00199,C00345_KI: 0.1329662054777145;C00074_KI: 0.1728342622518539;C00345_KI: 0.1329662054777145;C00345_KI: 0.1329662054777145;C00117_KI: 0.6574572324752808;C00199_KI: 0.2124285399913787
WP_000789986.1,5.3.1.9,,R4,Glucose-6-phosphate isomerase,R02739,MRL,C00668,C01172,Km_C01172: 0.678788722; Km_C00668: 0.678788722,Kcat_F: 1.292204517; Kcat_R: 1.292204517,C00345;C00074;C00345;C00345;C00117;C00199,C00345_KI: 0.1329662054777145;C00074_KI: 0.1728342622518539;C00345_KI: 0.1329662054777145;C00345_KI: 0.1329662054777145;C00117_KI: 0.6574572324752808;C00199_KI: 0.2124285399913787
WP_000591795.1,2.7.1.11,,R5,6-phosphofructokinase,R00756,MRL,C00002;C00085,C00008;C00354,Km_C00008: 0.068868771; Km_C00354: 0.123040177; Km_C00002: 0.073803619; Km_C00085: 0.206363901,Kcat_F: 102.0948756; Kcat_R: 68.69468206549999,C00074;C00044;C00158;D00037;C00009;D05467;C00002;D08646;C00074;C00008;G11113;C00074;C00988;C00236;C00074;C00988;C00631;C00236;C00008;G11113;C00002;D08646;C00002;D08646;C00002;D08646;C00074;C00631;C00197;C00988;C13199;D01732;D05878;C00002;D08646;C00074;C00631;C00197;C00008;G11113,C00074_KI: 0.1497044861316681;C00044_KI: 0.0800949186086654;C00158_KI: 0.5169147849082947;D00037_KI: 0.5169147849082947;C00009_KI: 0.7898165583610535;D05467_KI: 0.7898165583610535;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499;C00074_KI: 0.1497044861316681;C00988_KI: 0.2159814536571502;C00236_KI: 0.088793821632862;C00074_KI: 0.1497044861316681;C00988_KI: 0.2159814536571502;C00631_KI: 0.2169109284877777;C00236_KI: 0.088793821632862;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00631_KI: 0.2169109284877777;C00197_KI: 0.2720306813716888;C00988_KI: 0.2159814536571502;C13199_KI: nan;D01732_KI: 0.6513605117797852;D05878_KI: 0.6513605117797852;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00631_KI: 0.2169109284877777;C00197_KI: 0.2720306813716888;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499
WP_000591795.1,2.7.1.11,,R6,6-phosphofructokinase,R04779,MRL,C00002;C05345,C00008;C05378,Km_C00008: 0.068868771; Km_C05378: 0.123040177; Km_C00002: 0.073803619; Km_C05345: 0.027499999999999997,Kcat_F: 72.24687560000001; Kcat_R: 68.69468206549999,C00074;C00044;C00158;D00037;C00009;D05467;C00002;D08646;C00074;C00008;G11113;C00074;C00988;C00236;C00074;C00988;C00631;C00236;C00008;G11113;C00002;D08646;C00002;D08646;C00002;D08646;C00074;C00631;C00197;C00988;C13199;D01732;D05878;C00002;D08646;C00074;C00631;C00197;C00008;G11113,C00074_KI: 0.1497044861316681;C00044_KI: 0.0800949186086654;C00158_KI: 0.5169147849082947;D00037_KI: 0.5169147849082947;C00009_KI: 0.7898165583610535;D05467_KI: 0.7898165583610535;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499;C00074_KI: 0.1497044861316681;C00988_KI: 0.2159814536571502;C00236_KI: 0.088793821632862;C00074_KI: 0.1497044861316681;C00988_KI: 0.2159814536571502;C00631_KI: 0.2169109284877777;C00236_KI: 0.088793821632862;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00631_KI: 0.2169109284877777;C00197_KI: 0.2720306813716888;C00988_KI: 0.2159814536571502;C13199_KI: nan;D01732_KI: 0.6513605117797852;D05878_KI: 0.6513605117797852;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00631_KI: 0.2169109284877777;C00197_KI: 0.2720306813716888;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499
WP_000591795.1,2.7.1.11,,R7,6-phosphofructokinase,R00767,MRL,C00063;C00085,C00112;C00354,Km_C00112: 0.0586504; Km_C00354: 0.123040177; Km_C00063: 11.0; Km_C00085: 0.206363901,Kcat_F: 113.35434365; Kcat_R: 83.0863661655,C00074;C00044;C00158;D00037;C00009;D05467;C00002;D08646;C00074;C00008;G11113;C00074;C00988;C00236;C00074;C00988;C00631;C00236;C00008;G11113;C00002;D08646;C00002;D08646;C00002;D08646;C00074;C00631;C00197;C00988;C13199;D01732;D05878;C00002;D08646;C00074;C00631;C00197;C00008;G11113,C00074_KI: 0.1497044861316681;C00044_KI: 0.0800949186086654;C00158_KI: 0.5169147849082947;D00037_KI: 0.5169147849082947;C00009_KI: 0.7898165583610535;D05467_KI: 0.7898165583610535;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499;C00074_KI: 0.1497044861316681;C00988_KI: 0.2159814536571502;C00236_KI: 0.088793821632862;C00074_KI: 0.1497044861316681;C00988_KI: 0.2159814536571502;C00631_KI: 0.2169109284877777;C00236_KI: 0.088793821632862;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00631_KI: 0.2169109284877777;C00197_KI: 0.2720306813716888;C00988_KI: 0.2159814536571502;C13199_KI: nan;D01732_KI: 0.6513605117797852;D05878_KI: 0.6513605117797852;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00631_KI: 0.2169109284877777;C00197_KI: 0.2720306813716888;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499
WP_000591795.1,2.7.1.11,,R8,6-phosphofructokinase,R00769,MRL,C00075;C00085,C00015;C00354,Km_C00015: 0.147311985; Km_C00354: 0.123040177; Km_C00075: 5.1; Km_C00085: 0.206363901,Kcat_F: 92.367321505; Kcat_R: 56.9284049655,C00074;C00044;C00158;D00037;C00009;D05467;C00002;D08646;C00074;C00008;G11113;C00074;C00988;C00236;C00074;C00988;C00631;C00236;C00008;G11113;C00002;D08646;C00002;D08646;C00002;D08646;C00074;C00631;C00197;C00988;C13199;D01732;D05878;C00002;D08646;C00074;C00631;C00197;C00008;G11113,C00074_KI: 0.1497044861316681;C00044_KI: 0.0800949186086654;C00158_KI: 0.5169147849082947;D00037_KI: 0.5169147849082947;C00009_KI: 0.7898165583610535;D05467_KI: 0.7898165583610535;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499;C00074_KI: 0.1497044861316681;C00988_KI: 0.2159814536571502;C00236_KI: 0.088793821632862;C00074_KI: 0.1497044861316681;C00988_KI: 0.2159814536571502;C00631_KI: 0.2169109284877777;C00236_KI: 0.088793821632862;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00631_KI: 0.2169109284877777;C00197_KI: 0.2720306813716888;C00988_KI: 0.2159814536571502;C13199_KI: nan;D01732_KI: 0.6513605117797852;D05878_KI: 0.6513605117797852;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00631_KI: 0.2169109284877777;C00197_KI: 0.2720306813716888;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499
WP_000591795.1,2.7.1.11,,R9,6-phosphofructokinase,R00770,MRL,C00081;C00085,C00104;C00354,Km_C00104: 0.077306546; Km_C00354: 0.123040177; Km_C00081: 2.2; Km_C00085: 0.206363901,Kcat_F: 90.43650879500001; Kcat_R: 55.868415515500004,C00074;C00044;C00158;D00037;C00009;D05467;C00002;D08646;C00074;C00008;G11113;C00074;C00988;C00236;C00074;C00988;C00631;C00236;C00008;G11113;C00002;D08646;C00002;D08646;C00002;D08646;C00074;C00631;C00197;C00988;C13199;D01732;D05878;C00002;D08646;C00074;C00631;C00197;C00008;G11113,C00074_KI: 0.1497044861316681;C00044_KI: 0.0800949186086654;C00158_KI: 0.5169147849082947;D00037_KI: 0.5169147849082947;C00009_KI: 0.7898165583610535;D05467_KI: 0.7898165583610535;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499;C00074_KI: 0.1497044861316681;C00988_KI: 0.2159814536571502;C00236_KI: 0.088793821632862;C00074_KI: 0.1497044861316681;C00988_KI: 0.2159814536571502;C00631_KI: 0.2169109284877777;C00236_KI: 0.088793821632862;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00631_KI: 0.2169109284877777;C00197_KI: 0.2720306813716888;C00988_KI: 0.2159814536571502;C13199_KI: nan;D01732_KI: 0.6513605117797852;D05878_KI: 0.6513605117797852;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00631_KI: 0.2169109284877777;C00197_KI: 0.2720306813716888;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499
WP_000591795.1,2.7.1.11,,R10,6-phosphofructokinase,R01843,MRL,C00002;C05382,C00008;C00447,Km_C00008: 0.068868771; Km_C00447: 0.107532084; Km_C00002: 0.073803619; Km_C05382: 2.5,Kcat_F: 59.2198756; Kcat_R: 113.13586243499999,C00074;C00044;C00158;D00037;C00009;D05467;C00002;D08646;C00074;C00008;G11113;C00074;C00988;C00236;C00074;C00988;C00631;C00236;C00008;G11113;C00002;D08646;C00002;D08646;C00002;D08646;C00074;C00631;C00197;C00988;C13199;D01732;D05878;C00002;D08646;C00074;C00631;C00197;C00008;G11113,C00074_KI: 0.1497044861316681;C00044_KI: 0.0800949186086654;C00158_KI: 0.5169147849082947;D00037_KI: 0.5169147849082947;C00009_KI: 0.7898165583610535;D05467_KI: 0.7898165583610535;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499;C00074_KI: 0.1497044861316681;C00988_KI: 0.2159814536571502;C00236_KI: 0.088793821632862;C00074_KI: 0.1497044861316681;C00988_KI: 0.2159814536571502;C00631_KI: 0.2169109284877777;C00236_KI: 0.088793821632862;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00631_KI: 0.2169109284877777;C00197_KI: 0.2720306813716888;C00988_KI: 0.2159814536571502;C13199_KI: nan;D01732_KI: 0.6513605117797852;D05878_KI: 0.6513605117797852;C00002_KI: 0.0738036185503006;D08646_KI: 0.0738036185503006;C00074_KI: 0.1497044861316681;C00631_KI: 0.2169109284877777;C00197_KI: 0.2720306813716888;C00008_KI: 0.0688687711954116;G11113_KI: 0.0167876631021499
